Record,Survey,Study_Area,Light,Snow,Sky_code,Pilot,Duration,Flight_spe,Altitude__,Header,Name,Date,lat,lon,Altitude,Time,Elevation,Observer,OBS,Transect,Group_Size,Heading_Di,Time1,Distance_C,Activity,Initial_Ob,At_or_Past,Cover,Notes,SiteID,X,Y
41,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Map,-,2/18/2014,0,0,,,,"BR, DW",1,1,5,N,,A,,,,,,0,12804200,-4365970
42,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Map,-,2/18/2014,0,0,,,,"BR, DW",1,1,1,N,,C,,,,,,0,12804200,-4365970
43,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Map,-,2/18/2014,0,0,,,,"BR, DW",1,1,1,N,,A,,,,,,0,12804200,-4365970
44,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Map,-,2/18/2014,0,0,,,,"BR, DW",1,1,1,N,,A,,,,,,0,12804200,-4365970
45,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Map,-,2/18/2014,0,0,,,,"BR, DW",1,1,12,N,,A,,,,,,0,12804200,-4365970
46,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Map,-,2/18/2014,0,0,,,,"BR, DW",1,1,5,N,,A,,,,,,0,12804200,-4365970
47,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Waypoint,2,2/18/2014,43.140066,-84.935541,,2/18/2014,365.798767,"BR, DW",1,1,1,S,,A,,,,,,0,586427,288239
48,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Waypoint,2,2/18/2014,43.140066,-84.935541,,2/18/2014,365.798767,"BR, DW",1,1,5,S,,B,,,,,,0,586427,288239
49,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Waypoint,3,2/18/2014,43.109766,-84.935741,,2/18/2014,409.984894,"BR, DW",1,1,5,S,,B,,,,,,0,586454,284874
50,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Waypoint,4,2/18/2014,43.058556,-84.936307,,2/18/2014,416.343414,"BR, DW",1,1,3,S,,A,,,,,,0,586482,279187
51,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Waypoint,5,2/18/2014,42.969441,-84.935471,,2/18/2014,373.673462,"BR, DW",1,1,5,S,,B,,,,,,0,586679,269293
52,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Waypoint,6,2/18/2014,43.030499,-84.876925,,2/18/2014,405.553497,"BR, DW",1,2,3,N,11:33,A,,,,,,0,591360,276137
53,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Waypoint,7,2/18/2014,43.099174,-84.876093,,2/18/2014,417.539459,"BR, DW",1,2,10,N,11:40,B,,,,,,0,591323,283763
54,1,Maple River,bright,Full cover,0,Jacobs,,90,500,Waypoint,8,2/18/2014,43.126719,-84.87623,,2/18/2014,405.863647,"BR, DW",1,2,25,S,11:41,C,,,,,,0,591270,286822
