Record,Survey,Study_Area,Light,Snow,Sky_code,Pilot,Duration,Flight_spe,Altitude__,Header,Name,Date,lat,lon,Altitude,Observer,OBS,Transect,Group_Size,Heading_Di,Position,Time,Distance_C,Activity,Initial_Ob,At_or_Past,Cover,Notes,X,Y
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,40,2/26/2016,42.969383,-84.936364,400.479523,BR/MW,1,1,6,N,R,16:02:26+00,C,B,B,@,W,,586606,269286
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,41,2/26/2016,43.009068,-84.936288,405.383331,BR/MW,1,1,1,N,R,16:04:03+00,C,S,M,@,W,,586555,273692
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,42,2/26/2016,43.070208,-84.936494,391.261658,BR/MW,1,1,2,N,R,16:06:31+00,E,S,M,@,O,,586450,280481
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,43,2/26/2016,43.137085,-84.935755,415.501068,BR/MW,1,1,5,N,R,16:09:16+00,,M,M,P,O,,586414,287908
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,44,2/26/2016,43.144875,-84.935715,411.47464,BR/MW,1,1,1,N,R,16:09:35+00,D,S,M,@,W,,586406,288773
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,45,2/26/2016,43.106527,-84.935756,399.481171,BR/MW,1,1,3,S,R,16:12:21+00,E,S,B,@,W,,586458,284515
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,46,2/26/2016,43.071217,-84.936203,397.812439,BR/MW,1,1,9,S,R,16:13:48+00,E,S,B,@,O,,586472,280593
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,46,2/26/2016,43.071217,-84.936203,397.812439,BR/MW,1,1,3,S,R,16:13:48+00,E,S,B,@,O,,586472,280593
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,47,2/26/2016,43.064672,-84.936104,414.784302,BR/MW,1,1,2,S,R,16:14:04+00,C,S,M,@,W,,586490,279867
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,48,2/26/2016,43.029033,-84.936214,412.986511,BR/MW,1,1,1,S,R,16:15:32+00,B,S,M,@,W,,586532,275909
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,49,2/26/2016,43.024176,-84.936014,414.955719,BR/MW,1,1,8,S,R,16:15:44+00,D,S,B,P,W,,586556,275370
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,50,2/26/2016,42.978354,-84.93565,397.499359,BR/MW,1,1,3,S,R,16:17:37+00,C,S,M,@,W,,586651,270283
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,51,2/26/2016,42.972436,-84.935743,398.897247,BR/MW,1,1,3,S,R,16:17:51+00,C,S,M,@,W,,586652,269625
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,52,2/26/2016,42.99461,-84.876711,412.349091,BR/MW,1,2,1,N,R,16:21:20+00,B,S,M,@,O,,591432,272152
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,53,2/26/2016,43.161145,-84.876128,389.454559,BR/MW,1,2,2,S,R,16:29:01+00,E,S,B,@,O,,591226,290644
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,54,2/26/2016,43.15746,-84.87596,392.560028,BR/MW,1,2,1,S,R,16:29:10+00,E,S,M,@,O,,591245,290235
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,55,2/26/2016,43.142342,-84.875996,399.208649,BR/MW,1,2,2,S,R,16:29:46+00,C,S,B,@,W,,591265,288557
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,56,2/26/2016,43.100931,-84.87647,397.280304,BR/MW,1,2,4,S,R,16:31:29+00,A,S,M,@,W,,591290,283958
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,57,2/26/2016,43.094623,-84.876399,401.33078,BR/MW,1,2,5,S,R,16:31:45+00,B,S,B,@,W,,591305,283257
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,58,2/26/2016,43.052426,-84.876455,390.576569,BR/MW,1,2,3,S,R,16:33:29+00,D,B,B,@,W,,591365,278572
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,59,2/26/2016,43.044627,-84.87658,406.029205,BR/MW,1,2,5,S,R,16:33:48+00,C,B,M,@,W,,591367,277706
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,61,2/26/2016,43.040288,-84.87664,406.456421,BR/MW,1,2,9,S,R,16:33:59+00,D,S,B,@,O,,591368,277224
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,62,2/26/2016,43.01132,-84.876863,388.108704,BR/MW,1,2,1,S,R,16:35:08+00,A,S,M,@,W,,591394,274007
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,63,2/26/2016,42.996728,-84.876926,386.966095,BR/MW,1,3,6,N,R,16:35:45+00,C,B,B,P,W,,591411,272387
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,64,2/26/2016,42.991276,-84.818691,409.532623,BR/MW,1,3,16,N,R,16:39:14+00,D,S,B,@,W,,596166,271848
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,65,2/26/2016,43.041296,-84.818569,400.20578,BR/MW,1,3,7,N,R,16:41:15+00,D,S,B,@,W,,596096,277402
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,66,2/26/2016,43.055834,-84.818754,403.769897,BR/MW,1,3,3,N,R,16:41:50+00,B,B,B,@,W,,596058,279016
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,67,2/26/2016,43.062085,-84.818789,399.93869,BR/MW,1,3,10,N,R,16:42:05+00,D,S,M,@,W,,596045,279710
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,68,2/26/2016,43.095844,-84.818396,409.674408,BR/MW,1,3,2,N,R,16:43:25+00,E,S,B,@,O,,596023,283459
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,69,2/26/2016,43.099403,-84.818507,406.099396,BR/MW,1,3,1,S,R,16:43:34+00,D,S,B,@,W,,596008,283854
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,70,2/26/2016,43.172121,-84.817398,405.395752,BR/MW,1,3,1,S,R,16:47:52+00,E,S,M,@,O,,595982,291930
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,71,2/26/2016,43.169164,-84.817395,399.810883,BR/MW,1,3,3,S,R,16:47:59+00,E,S,B,@,W,,595987,291602
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,72,2/26/2016,43.136059,-84.817833,397.423004,BR/MW,1,3,22,S,R,16:49:21+00,E,S,B,@,O,,596005,287925
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,73,2/26/2016,43.01296,-84.818567,407.383545,BR/MW,1,3,9,S,R,16:54:30+00,B,B,M,@,W,,596142,274256
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,74,2/26/2016,42.994988,-84.818716,409.260284,BR/MW,1,3,3,S,R,16:55:14+00,C,B,M,@,W,,596158,272260
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,75,2/26/2016,42.989421,-84.818829,420.157867,BR/MW,1,4,4,N,R,16:55:28+00,D,S,B,@,W,,596158,271642
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,76,2/26/2016,43.083845,-84.758949,403.867584,BR/MW,1,4,1,N,R,17:00:49+00,D,S,B,@,O,,600881,282198
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,76,2/26/2016,43.124802,-84.758538,402.914612,BR/MW,1,4,5,N,R,17:02:27+00,E,S,M,@,O,,600845,286747
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,77,2/26/2016,43.172098,-84.758017,403.84079,BR/MW,1,4,4,N,R,17:04:24+00,E,S,B,@,O,,600808,291999
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,78,2/26/2016,43.099683,-84.758668,400.21582,BR/MW,1,4,6,S,R,17:10:07+00,D,S,B,@,W,,600877,283957
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,79,2/26/2016,43.068059,-84.759308,397.432709,BR/MW,1,4,3,S,R,17:11:28+00,E,B,B,@,O,,600878,280445
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,80,2/26/2016,43.023581,-84.759439,416.892914,BR/MW,1,4,3,S,R,17:13:23+00,D,B,B,@,W,,600942,275506
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,81,2/26/2016,43.100243,-84.69954,389.265717,BR/MW,1,5,11,N,R,17:19:40+00,C,B,M,@,W,,605687,284094
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,82,2/26/2016,43.114874,-84.699578,393.858612,BR/MW,1,5,10,N,R,17:20:14+00,C,B,B,@,W,,605658,285718
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,83,2/26/2016,43.121008,-84.69972,399.975159,BR/MW,1,5,7,N,R,17:20:28+00,A,B,M,@,W,,605636,286399
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,84,2/26/2016,43.166181,-84.699662,403.988037,BR/MW,1,5,12,S,R,17:26:27+00,A,B,M,@,W,,605561,291415
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,85,2/26/2016,43.108973,-84.699696,375.418427,BR/MW,1,5,5,S,R,17:28:51+00,C,S,B,@,W,,605659,285063
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,86,2/26/2016,43.106883,-84.699622,373.891724,BR/MW,1,5,3,S,R,17:28:56+00,C,S,M,@,W,,605669,284831
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,87,2/26/2016,43.084588,-84.699822,402.784668,BR/MW,1,5,3,S,R,17:29:53+00,C,S,B,@,W,,605692,282355
,1,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,88,2/26/2016,43.051588,-84.699757,410.692352,BR/MW,1,5,2,S,R,17:31:19+00,B,S,B,@,W,,605755,278691
,2,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,89,3/3/2016,42.970118,-84.936644,406.272919,BR/MW,1,1,4,N,R,15:59:28+00,C,B,B,@,W,,586582,269367
,2,Maple River,Flat,Complete,2,Jacobs,,90,500,Waypoint,90,3/3/2016,42.987127,-84.936084,385.977905,BR/MW,1,1,1,N,R,16:00:06+00,C,S,M,@,W,,586603,271256
