Id,Length,ORIG_FID,POINT_X,POINT_Y,Direction,Order_,x,y,Start_Sout,StudyArea,Transect
0,0,0,-84.93609022,42.95823297,0,1,586645,268048,1,1,1
0,0,0,-84.93558578,43.14853357,0,2,586411,289179,2,1,1
0,0,0,-84.87689709,42.97281047,0,3,591450,269731,1,1,2
0,0,0,-84.87602212,43.16277501,0,4,591232,290826,2,1,2
0,0,0,-84.81748853,43.17674101,0,5,595968,292443,2,1,3
0,0,0,-84.81876216,42.98746625,0,6,596167,271425,1,1,3
0,0,0,-84.75938456,43.00187224,0,7,600983,273096,1,1,4
0,0,0,-84.75825192,43.19082769,0,8,600758,294078,2,1,4
0,0,0,-84.69995681,43.20476072,0,9,605470,295699,2,1,5
0,0,0,-84.69979107,43.01622473,0,10,605814,274765,1,1,5
0,0,0,-84.93597428,43.00200345,site,0,586591,272908,4,1,1
0,0,0,-84.9358545,43.04720865,site,0,586535,277928,4,1,1
0,0,0,-84.93573877,43.09086382,site,0,586482,282776,4,1,1
0,0,0,-84.87669311,43.01717228,site,0,591399,274657,4,1,2
0,0,0,-84.87648855,43.0616165,site,0,591348,279592,4,1,2
0,0,0,-84.87628758,43.10523441,site,0,591298,284436,4,1,2
0,0,0,-84.81846015,43.03244265,site,0,596119,276419,4,1,3
0,0,0,-84.81817659,43.07461853,site,0,596075,281103,4,1,3
0,0,0,-84.81787972,43.11871923,site,0,596029,286000,4,1,3
0,0,0,-84.81758667,43.16219529,site,0,595983,290828,3,1,3
0,0,0,-84.75833927,43.1762964,site,0,600775,292465,3,1,4
0,0,0,-84.69994449,43.19076165,site,0,605495,294144,3,1,5
0,0,0,-84.75860023,43.13284288,site,0,600827,287639,4,1,4
0,0,0,-84.758963,43.08892,site,0,600871,282762,4,1,4
0,0,0,-84.7591152,43.04691111,site,0,600929,278097,4,1,4
0,0,0,-84.70043987,43.05922763,site,0,605686,279539,4,1,5
0,0,0,-84.69990607,43.14710573,site,0,605575,289297,4,1,5
0,0,0,-84.69986715,43.10286212,site,0,605656,284384,4,1,5
0,0,0,-84.93580838,43.13401837,,0,586414,287567,3,1,1
0,0,0,-84.87608938,43.14820417,,0,591249,289207,3,1,2
5,0,0,-82.95547512,43.56359913,South,0,745687,339247,1,2,0
5,0,0,-82.95960492,43.75278523,North,0,744583,360238,2,2,0
4,0,0,-83.01955694,43.75102335,North,0,739765,359867,2,2,0
4,0,0,-83.01566873,43.56164371,South,0,740836,338853,1,2,0
3,0,0,-83.07888095,43.73472664,North,0,735054,357888,2,2,0
3,0,0,-83.07402008,43.54565016,South,0,736187,336910,1,2,0
2,0,0,-83.13857413,43.70368721,North,0,730368,354273,2,2,0
2,0,0,-83.13001721,43.51506478,South,0,731783,333356,1,2,0
1,0,0,-83.18982617,43.51353164,South,0,726956,333020,1,2,0
1,0,0,-83.19708795,43.70180091,North,0,725662,353903,2,2,0
0,0,0,0,0,,0,725235,334455,1,2,1
0,0,0,0,0,,0,729968,334846,1,2,2
0,0,0,0,0,,0,734646,335260,1,2,3
0,0,0,0,0,,0,739581,332255,1,2,4
0,0,0,0,0,,0,744656,331003,1,2,5
0,0,0,0,0,,0,743552,351994,2,2,5
0,0,0,0,0,,0,738510,353269,2,2,4
0,0,0,0,0,,0,733513,356238,2,2,3
0,0,0,0,0,,0,728607,355768,2,2,2
0,0,0,0,0,,0,723941,355337,2,2,1
